Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Status,Collections
kitchen-degreaser-ultra-500ml,"Kitchen Degreaser Ultra | 500ml","<p>A powerful, plant-based degreaser designed to tackle stubborn oil, grease, and sticky messes in the kitchen. From stovetops and chimneys to tiles, counters, and exhaust fans, it lifts away tough build-up while being gentle enough for regular use.</p>",Purelane,Kitchen Degreaser,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,All,Kitchen Degreaser,Subscribe",TRUE,Size,500 ml,KDU_SO_500,500,shopify,500,deny,manual,399,,TRUE,TRUE,8906125520756,https://www.purecult.in/cdn/shop/files/KITCHEN_DEGREASER_FRONT.png?v=1758957135,Kitchen Degreaser Ultra,active,"Purelane Bestsellers"
dishwashing-liquid-with-sweet-orange-lemon-essential-oil-500-ml,"Dishwashing Liquid With Sweet Orange &amp; Lemon Essential Oil - 500 ML","<p>A plant based blend enriched with ECOCERT certified natural anti-microbial agent and essential oils, this dish washing liquid ensures your dishes are spotlessly clean.</p>",Purelane,Dishwash liquid,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,All,Dishwash liquid,Subscribe",TRUE,Size,500 ml,,500,shopify,400,deny,manual,349,,TRUE,TRUE,,https://www.purecult.in/cdn/shop/files/Dishwashingliquid500ml.jpg?v=1687956208,Dishwashing Liquid,active,"Purelane Bestsellers"
floor-cleaner-500-ml,"Floor Cleaner Liquid With Geranium &amp; Lavender Essential Oil - 500 ML","<p>A biodegradable blend powered by natural anti-microbial agent and essential oils, this no rinse formulation will work to disinfect as it cleans your floors. Works well on marble, tiles, sealed hardwood and laminate.</p>",Purelane,Floor Cleaner,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,All,Floor Cleaner,Subscribe",TRUE,Size,500 ml,,500,shopify,350,deny,manual,349,,TRUE,TRUE,,https://www.purecult.in/cdn/shop/files/FloorCleaner_geranium.jpg?v=1687956310,Floor Cleaner,active,"Purelane Bestsellers"
eco-friendly-laundry-detergent-skin-friendly-geranium-and-lavender-500ml,"Laundry Detergent With Geranium &amp; Lavender Essential Oil &ndash; 500ml","<p>A blend of environment-friendly surfactants and an organic 5-enzyme formula, this gentle but effective recipe is sure to give you the best wash. Fighting tough stains and dirt, your whites stay white and colours stay bright.</p>",Purelane,Laundry Detergent,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,_key-icon-fabric-safe,_key-icon-geranium-lavender,_key-notes-geranium,_key-notes-lavender,All,Laundry Detergent,Shop By Category_Laundry Cleaners,Subscribe",TRUE,Size,500 ml,LAD_GL_500,500,shopify,450,deny,manual,499,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0265/3087/3422/products/Laundry-Detergent-500.jpg?v=1669012811,Laundry Detergent,active,"Purelane Bestsellers"
eco-friendly-liquid-handwash-sweet-dew-skin-friendly-biodegradable-250ml,"Liquid Handwash With Sweet Dew - 250ml","<p>A skin-friendly, biodegradable handwash with Sweet Dew fragrance, made from plant/bio-based ingredients. Safe for everyday use.</p>",Purelane,Hand Wash Liquid,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,_key-icon-sweet-dew,_key-notes-sweet-dew,All,Handwash,Shop By Category_Hand wash,Subscribe",TRUE,Size,250 ml,HW_SD_250,250,shopify,400,deny,manual,299.25,399,TRUE,TRUE,8906125520404,https://cdn.shopify.com/s/files/1/0265/3087/3422/products/PureCulthandwash250ml_grande.png?v=1669880017,Liquid Handwash,active,"Purelane Bestsellers"
bathroom-cleaner-with-sweet-orange-lemon-essential-oil-500-ml,"Bathroom Cleaner With Sweet Orange &amp; Lemon Essential Oil &ndash; 500 ML","<p>This effective cleaner powered by biodegradable, organic ingredients, works hard to remove water drop marks, soap scum and grime effectively from bathroom tiles, shower cubicles and wash basins. Sweet orange and Lemon essential oils are known for their antimicrobial and antifungal properties.</p>",Purelane,Bathroom Cleaner,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,All,Bathroom Cleaner,Subscribe",TRUE,Size,500 ml,BCL_SOL_500,500,shopify,0,deny,manual,399,,TRUE,TRUE,,https://www.purecult.in/cdn/shop/files/BathroomCleaner_sweetorange_500ml_92771e8f-042e-4dbf-b89b-078ec6be4db6.jpg?v=1700502899,Bathroom Cleaner,active,"Purelane Bestsellers"
tap-and-shower-cleaner,"Tap &amp; Shower Cleaner | 500ml","<p>Removes hard water stains &amp; limescale. Made with Ylang Ylang &amp; Lavender essential oils. For chrome, steel &amp; glass. Safe for homes with kids and pets.</p>",Purelane,Tap &amp; Shower Cleaner,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,All,Tap &amp; Shower Cleaner,Subscribe",TRUE,Size,500 ml,TSCL_YYL_500,500,shopify,300,deny,manual,299,,TRUE,TRUE,8906125520060,,Tap & Shower Cleaner,active,"Purelane Bestsellers"
all-surface-cleaner-with-sweet-orange-500-ml,"All Surface Cleaner With Sweet Orange - 500 ML","<p>Want to give a streak-free shine to your surfaces? This multi-surface cleaner removes fingerprints, smudges, pet slobber, dirt and stains, and is fragranced with sweet orange.</p>",Purelane,All Surface Cleaner,"multi purpose cleaner,surface cleaner",TRUE,Size,500 ml,ASCL_SO_500,560,shopify,250,deny,manual,399,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0265/3087/3422/products/Allsurfacecleanersweetorange.png?v=1679473367,All Surface Cleaner,active,"Purelane Bestsellers"
eco-friendly-liquid-fabric-conditioner-skin-friendly-biodegradable-geranium-lavender-essential-oil-500ml,"Liquid Fabric Softener and Conditioner With Geranium &amp; Lavender Essential Oil &ndash; 500ml","<p>This natural fabric softener and conditioner will leave your clothes soft and silky. A refreshing and calming blend of Geranium and Lavender essential oil will leave your clothes naturally and mildly fragranced.</p>",Purelane,Fabric Conditioner,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,_key-icon-fabric-safe,_key-icon-geranium-lavender,_key-notes-geranium,_key-notes-lavender,All,Fabric Conditioner,Shop By Category_Laundry Cleaners,Subscribe",TRUE,Size,500 ml,FABC_GL_500,500,shopify,200,deny,manual,399,,TRUE,TRUE,8906125520145,https://www.purecult.in/cdn/shop/files/FabricConditioner_geranium_500ml.jpg?v=1690885354,Fabric Conditioner,active,"Purelane Bestsellers"
floor-cleaner-5000-ml,"Floor Cleaner Liquid With Geranium &amp; Lavender Essential Oil | 5000 ML","<p>A biodegradable blend powered by natural anti-microbial agent and essential oils, this no rinse formulation will work to disinfect as it cleans your floors. Works well on marble, tiles, sealed hardwood and laminate. 5-litre refill can.</p>",Purelane,Floor Cleaner,"_key-icon-biodegradable,_key-icon-cruelty-free,_key-icon-earth-friendly,All,Floor Cleaner,Subscribe",TRUE,Size,5 L,,5000,shopify,500,deny,manual,1950,2999,TRUE,TRUE,,https://www.purecult.in/cdn/shop/files/FloorCleaner_geranium_5L_25f0942d-7126-41b8-9f4e-1b8e4567ea70.jpg?v=1688652384,Floor Cleaner 5L,active,"Purelane Bestsellers"
